,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,GHG Type
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6735.57274,7018.87361,7124.43448,7209.86285,7462.89122,7825.029591,8671.811366,9396.953142,9959.927417,10782.37169,9560.365968,8347.272951,10195.37243,10506.94192,10500.3189,10731.72838,11176.055,11610.47661,12904.92073,13385.46484,15196.10646,15500.4959,15631.98785,15823.11729,16300.02674,15943.92618,15813.33064,15597.86259,15919.02455,15679.104,16222.03596,0.0,0.0,0.0,Methane
1,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.412942,2930.139362,2886.076981,2926.0506,2758.94402,2878.304839,3117.90515,3427.95266,3724.143171,4000.904081,3477.594592,3073.603798,3555.745804,3693.63821,3666.140617,3823.075223,3662.061409,3595.066596,3880.009782,4157.353969,4578.781155,4684.088792,4723.347029,4774.904066,5089.099104,5057.086341,5043.515513,5263.964085,4670.406457,4647.418829,4863.386801,0.0,0.0,0.0,Nitrous Oxide
2,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
3,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11623.855682,11890.382972,11535.981461,11663.803450000001,11715.42524,12161.024430000001,13197.016516,14169.005802,15002.070588,15905.275771,14116.080559999999,12509.514749000002,15154.148234,15853.78713,15458.766517000002,16516.514603,17121.796409,18053.353206,21160.570512000002,24101.788809,28351.037615,32146.474691999996,30563.464879,30000.071356,30670.465844,31058.602521,30151.776153,30884.606675000003,31561.811007,31565.352829,29794.892761,0.0,0.0,0.0,Total
4,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.87,1941.37,1525.47,1527.89,1493.59,1457.69,1407.3,1344.1,1318.0,1122.0,1078.12,1088.638,1403.03,1653.207,1292.307,1961.711,2283.68,2847.81,4375.64,6558.97,8576.15,11961.89,10208.13,9402.05,9281.34,10057.59,9294.93,10022.78,10972.38,11238.83,8709.47,0.0,0.0,0.0,Carbon Dioxide
5,Africa Eastern and Southern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316767.2098,317180.6587,322963.5421,326031.1577,334937.5383,342969.9777,347444.2629,355357.4908,373127.931,376218.6568,375632.8677,377769.373,398651.8548,411121.2635,419876.243,436996.973,436259.0159,463081.6647,480703.3813,481251.2037,497654.7155,502230.7136,487468.705,489075.7884,492826.7068,501370.3302,506100.4756,507551.0086,510884.914,522988.0269,535800.1473,0.0,0.0,0.0,Methane
6,Africa Eastern and Southern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hydrofluoro Carbon
7,Africa Eastern and Southern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304614.7202,300135.9431,296834.6917,305267.7791,314596.2871,329784.5578,342368.1783,358278.3816,367651.9374,353173.1007,357967.5107,395061.5236,406488.1623,428637.7792,459742.3344,460840.9102,467829.2222,488797.6487,522352.2523,504690.3711,532614.1402,525337.8893,546775.865,568547.519,591680.972,576265.992,580219.242,590905.482,598720.9575,610723.5,544952.503,0.0,0.0,0.0,Carbon Dioxide
8,Africa Eastern and Southern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804090.4543,799627.4199999999,804590.5479,815696.0530999999,836707.5796,862082.5023,879573.9021000001,903830.7024000001,941965.7875999999,928213.3946,930499.2242,968887.9415,1014939.8363000001,1054214.6841,1096169.2936,1122548.4761,1121990.1359,1184813.712,1243084.8439,1224006.2486,1279158.3365,1280791.9914000002,1289108.2102,1310658.6439,1336860.4076999999,1333171.5918,1345580.0705,1359438.72,1370386.9063,1399426.3336,1356443.3939,0.0,0.0,0.0,Total
9,Africa Eastern and Southern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182708.5243,182310.8182,184792.3141,184397.1163,187173.7542,189327.9668,189761.4609,190194.83,201185.9192,198821.6371,196898.8458,196057.0449,209799.8192,214455.6414,216550.7162,224710.5929,217901.8978,232934.3986,240029.2103,238064.6738,248889.4808,253223.3885,254863.6402,253035.3365,252352.7289,255535.2696,259260.3529,260982.2294,260781.0348,265714.8067,275690.7436,0.0,0.0,0.0,Nitrous Oxide
