Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316767.2098,317180.6587,322963.5421,326031.1577,334937.5383,342969.9777,347444.2629,355357.4908,373127.931,376218.6568,375632.8677,377769.373,398651.8548,411121.2635,419876.243,436996.973,436259.0159,463081.6647,480703.3813,481251.2037,497654.7155,502230.7136,487468.705,489075.7884,492826.7068,501370.3302,506100.4756,507551.0086,510884.914,522988.0269,535800.1473,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6735.57274,7018.87361,7124.43448,7209.86285,7462.89122,7825.029591,8671.811366,9396.953142,9959.927417,10782.37169,9560.365968,8347.272951,10195.37243,10506.94192,10500.3189,10731.72838,11176.055,11610.47661,12904.92073,13385.46484,15196.10646,15500.4959,15631.98785,15823.11729,16300.02674,15943.92618,15813.33064,15597.86259,15919.02455,15679.104,16222.03596,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244358.2367,264354.831,274645.4203,279878.2645,286162.8265,284331.5308,294003.3998,293990.7439,289327.603,280695.9521,287415.0536,287327.7596,280831.8129,302782.6889,310344.3498,322300.7632,320650.3698,316876.1156,316698.6564,313617.6647,331939.6805,338229.4376,340353.7297,343452.4945,350852.2768,356800.0516,366791.2597,373075.8104,383100.9811,392786.2068,396651.3749,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21316.78281,21593.96632,22165.15234,22754.71835,23720.63686,25458.37788,25690.9888,26088.56973,28337.72315,27517.93908,27459.2825,27461.15,29195.3,31225.92,32190.235,33940.2375,33496.67019,36458.98038,37601.57807,36731.97826,38100.52595,37827.83037,36964.16479,37028.61921,36190.28613,38455.63556,38558.28907,37896.82008,34015.56609,35023.4996,32703.23811,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3544.179018,3496.030063,3408.133609,3487.524654,4078.360699,4079.841745,3908.034151,3702.706557,3564.438963,3614.401369,3665.113775,3607.007937,3561.112099,3572.183761,3499.262922,3485.974584,3436.85691,3304.341736,3133.841562,3023.683888,3029.718714,3019.352135,3060.733056,3060.841477,3086.507398,3105.39582,3092.440833,3047.750846,3008.433359,2848.125872,2692.195886,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.591023,23.636224,24.681425,25.726626,26.771827,27.817028,28.811622,29.806217,30.800811,31.795405,32.79,34.605504,36.421009,38.236513,40.052018,41.867522,43.697283,45.527044,47.356805,49.186566,51.016327,51.148002,51.279676,51.411351,51.543025,51.6747,52.059952,52.445203,52.830455,53.215707,53.600959,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400520.2406,401118.9993,415914.0515,441854.6591,463449.5814,477472.1116,488128.9675,504045.5401,519382.2789,526284.0476,548484.6152,540976.8793,541270.5305,564272.339,577327.8592,596684.3271,605790.4047,608413.3008,620362.1553,606708.0097,621596.7051,605712.1866,652341.8252,636022.0263,627157.0923,634690.8434,654705.6582,670315.5955,685632.6403,694250.4501,649060.9874,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21809.86706,23846.96342,23636.08228,23875.58864,25385.645,25933.44167,26898.29583,27222.625,27282.55917,26252.98833,27691.025,29052.7325,28736.74,32243.9675,34134.4775,36907.36,39067.90423,39507.22097,40975.7477,39666.94193,41466.75367,44911.71408,47042.9045,49435.20242,50171.81284,53345.24076,55510.72518,54622.7721,55329.91152,58152.42344,56944.70537,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111946.93,111150.8875,113484.28,112657.41,113949.8825,115661.43,114921.205,115552.54,114526.1175,118192.48,119811.105,120443.1962,123719.9224,131292.9261,132880.0748,131957.976,134304.3686,134281.0012,133752.4012,127281.1338,119294.5639,118321.2923,121744.7231,123305.8615,124480.9874,124872.4333,126454.1365,130277.6547,130947.533,132855.1587,131035.6894,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.259623,3446.608916,3160.305837,2899.231248,2730.94416,2566.212071,2411.595657,2260.054243,2058.650329,1913.886414,1800.4125,1847.5025,1900.5775,1954.2275,2012.4875,2045.47,2094.6225,2168.8325,2210.235,2174.7425,2203.9725,2214.40104,2271.224581,2361.520621,2413.531662,2466.930202,2487.234485,2433.451268,2347.375551,2323.339834,2319.921617,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.550614,131.354828,136.446543,141.895757,147.434971,152.641686,156.675194,161.596202,166.39721,171.655718,176.444227,179.884349,182.969471,186.017094,189.257216,191.877339,194.171686,196.028534,198.107882,200.08973,186.231578,188.395993,190.435409,192.427325,194.50924,196.563656,198.516589,200.589522,202.304955,203.200389,204.865822,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143963.4518,144369.5952,142589.2461,141173.3985,142055.5843,141174.8666,135242.431,136333.0255,140251.3865,155000.7971,165945.0627,176871.5074,170481.6823,130893.3894,151512.9589,133024.2817,151664.4966,149356.4064,133197.6192,137197.9021,129412.3143,177596.5253,176798.0167,140883.7869,154126.1748,151225.3204,134687.3658,157518.4258,156428.4008,144211.7857,131484.7632,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11849.61016,11850.46675,11647.62936,11326.82428,10931.30899,10444.8298,10268.89084,9946.179413,9667.965914,9540.496827,9281.673609,9168.185707,9050.624835,8898.768431,8814.063124,8623.939461,8486.546794,8332.243329,8249.81944,8072.84508,8107.730705,7922.195199,7770.628685,7633.338547,7441.51378,7391.89149,7313.564413,7270.289799,7081.285186,6963.743072,6863.078458,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19093.13578,18075.1885,16142.575,11378.03,6653.865,6773.482977,6653.261922,6798.550868,7274.412314,7863.258759,8003.910205,8500.023334,8630.138964,8832.022093,8996.237723,10256.42585,12035.83568,14033.1655,15466.12032,16227.81015,16320.30747,15694.25806,15793.74864,16100.89423,15912.72982,15854.2904,15762.92403,15381.09765,15705.63377,16038.22239,15733.13101,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.927605,609.520329,614.433053,595.510777,538.971,552.011224,545.422483,566.041241,504.655,507.094286,518.971071,535.217857,520.219643,539.458929,573.018214,604.2925,657.641585,695.07817,750.724755,826.398841,926.155426,1008.178617,1009.981808,1207.307499,1168.25069,1161.346382,1324.809409,1608.234937,1607.025465,1364.913493,1258.19152,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13259.17184,13353.09998,13160.77149,12965.86828,13010.78712,13131.89156,13010.52741,12816.83813,12553.51235,12609.66914,12136.78323,11627.30584,11079.20172,10399.40021,10258.02183,9987.294477,9833.792258,9645.848857,9452.72019,9364.715647,9238.658108,8991.431876,8831.77803,8609.355986,8540.058697,8528.701682,8446.14364,8164.824385,8182.82513,8081.030875,7974.086619,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.093028,2254.431923,2296.368317,2310.227211,2468.558606,2292.05,2721.91,2803.65,2937.3225,2842.2825,3077.46,2663.905391,2923.718282,2844.966173,2808.599064,3176.851955,3070.885346,3162.918737,3065.977127,3153.880518,3116.818909,3235.699167,3296.946926,3510.637184,3463.059943,3531.217701,3687.508543,3713.244385,3821.127728,3965.78607,4029.619412,,,
